Salmonella enterica
Escherichia coli
Mycobacterium tuberculosis
Staphylococcus aureus
Streptococcus pneumoniae
Campylobacter_D jejuni
Klebsiella pneumoniae
Neisseria gonorrhoeae
Neisseria meningitidis
Streptococcus pyogenes
Listeria monocytogenes_B
Campylobacter_D coli
Listeria monocytogenes
Enterococcus_B faecium
Clostridioides difficile
Pseudomonas aeruginosa
Streptococcus agalactiae
Acinetobacter baumannii
Vibrio cholerae
Enterococcus faecalis
Bordetella pertussis
Vibrio parahaemolyticus
Haemophilus influenzae
Enterobacter hormaechei_A
Staphylococcus epidermidis
Mycobacterium abscessus
Legionella pneumophila
Burkholderia mallei
